,reportingmonth,companyname,scooter_count
0,2019-05-01,Bird,3064
1,2019-05-01,Bolt,346
2,2019-05-01,Gotcha,223
3,2019-05-01,Jump,976
4,2019-05-01,Lime,1632
5,2019-05-01,Lyft,1376
6,2019-05-01,Spin,687
7,2019-06-01,Bird,2910
8,2019-06-01,Bolt,333
9,2019-06-01,Gotcha,223
10,2019-06-01,Jump,1036
11,2019-06-01,Lime,1461
12,2019-06-01,Lyft,1152
13,2019-06-01,Spin,713
14,2019-07-01,Bird,2583
15,2019-07-01,Bolt,276
16,2019-07-01,Gotcha,224
17,2019-07-01,Jump,1206
18,2019-07-01,Lime,903
19,2019-07-01,Lyft,1026
20,2019-07-01,Spin,570
