,zip,company,count
0,37013,Lime,2
1,37027,Lime,31
2,37027,Jump,7
3,37027,Bird,6
4,37027,Gotcha,2
5,37027,Spin,2
6,37027,Lyft,1
7,37064,Bird,1
8,37115,Bird,2
9,37143,Lime,2
10,37201,Jump,16
11,37201,Bird,15
12,37201,Lime,8
13,37201,Lyft,5
14,37201,Spin,1
15,37201,Gotcha,1
16,37203,Bird,516
17,37203,Lyft,204
18,37203,Bolt,102
19,37203,Spin,94
20,37203,Lime,85
21,37203,Jump,17
22,37203,Gotcha,14
23,37204,Jump,27
24,37204,Lyft,24
25,37204,Gotcha,17
26,37204,Bird,10
27,37204,Lime,5
28,37204,Bolt,1
29,37204,Spin,1
30,37205,Bird,985
31,37205,Lime,354
32,37205,Lyft,311
33,37205,Jump,141
34,37205,Spin,64
35,37205,Bolt,58
36,37205,Gotcha,1
37,37206,Bird,11
38,37206,Lyft,6
39,37206,Lime,2
40,37206,Jump,1
41,37207,Spin,2
42,37208,Bird,8
43,37208,Jump,6
44,37208,Lime,4
45,37208,Lyft,2
46,37208,Spin,1
47,37209,Bird,121
48,37209,Lyft,23
49,37209,Spin,23
50,37209,Lime,21
51,37209,Bolt,6
52,37209,Jump,3
53,37210,Spin,19
54,37210,Lime,11
55,37210,Bird,8
56,37210,Jump,4
57,37210,Bolt,1
58,37210,Gotcha,1
59,37211,Jump,311
60,37211,Spin,2
61,37211,Lime,1
62,37212,Bird,811
63,37212,Lyft,401
64,37212,Spin,277
65,37212,Lime,197
66,37212,Bolt,119
67,37212,Jump,26
68,37212,Gotcha,11
69,37213,Jump,6
70,37213,Lyft,4
71,37213,Bird,3
72,37213,Lime,1
73,37214,Lime,1
74,37215,Bird,1301
75,37215,Lime,938
76,37215,Lyft,725
77,37215,Jump,626
78,37215,Spin,230
79,37215,Bolt,71
80,37215,Gotcha,41
81,37216,Bird,4
82,37216,Jump,1
83,37217,Spin,1
84,37217,Lime,1
85,37219,Bird,12
86,37219,Lyft,4
87,37219,Spin,1
88,37219,Lime,1
89,37219,Jump,1
90,37219,Gotcha,1
91,37219,Bolt,1
92,37220,Lime,4
93,37220,Spin,3
94,37220,Lyft,3
95,37220,Bird,2
96,37220,Jump,1
97,37221,Lime,54
98,37221,Bird,7
99,37221,Jump,7
100,37221,Spin,1
101,37232,Bird,20
102,37232,Lyft,7
103,37232,Lime,4
104,37232,Bolt,1
105,37232,Spin,1
106,37240,Bird,13
107,37240,Spin,5
108,37240,Lyft,4
109,37240,Lime,2
